"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","Method Description","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"02/25/2023","AQS","481130050","3","14","ug/m3 LC","60","Convention Center","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.7742584","-96.7976775"
"02/26/2023","AQS","481130050","3","19.1","ug/m3 LC","70","Convention Center","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.7742584","-96.7976775"
"02/27/2023","AQS","481130050","3","45.2","ug/m3 LC","125","Convention Center","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.7742584","-96.7976775"
"02/28/2023","AQS","481130050","3","8.8","ug/m3 LC","49","Convention Center","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.7742584","-96.7976775"
"03/01/2023","AQS","481130050","3","14","ug/m3 LC","60","Convention Center","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.7742584","-96.7976775"
"03/02/2023","AQS","481130050","3","14.8","ug/m3 LC","62","Convention Center","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.7742584","-96.7976775"
"03/03/2023","AQS","481130050","3","7.8","ug/m3 LC","43","Convention Center","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.7742584","-96.7976775"
"03/04/2023","AQS","481130050","3","12.3","ug/m3 LC","57","Convention Center","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.7742584","-96.7976775"
"03/05/2023","AQS","481130050","3","10.4","ug/m3 LC","53","Convention Center","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.7742584","-96.7976775"
"03/06/2023","AQS","481130050","3","10.7","ug/m3 LC","54","Convention Center","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.7742584","-96.7976775"
"03/07/2023","AQS","481130050","3","17.7","ug/m3 LC","67","Convention Center","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.7742584","-96.7976775"
"03/08/2023","AQS","481130050","3","10.7","ug/m3 LC","54","Convention Center","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.7742584","-96.7976775"
"03/09/2023","AQS","481130050","3","15.7","ug/m3 LC","63","Convention Center","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.7742584","-96.7976775"
"03/10/2023","AQS","481130050","3","5.6","ug/m3 LC","31","Convention Center","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.7742584","-96.7976775"
"03/11/2023","AQS","481130050","3","15.7","ug/m3 LC","63","Convention Center","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.7742584","-96.7976775"
"03/12/2023","AQS","481130050","3","4.1","ug/m3 LC","23","Convention Center","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.7742584","-96.7976775"
"03/13/2023","AQS","481130050","3","3.9","ug/m3 LC","22","Convention Center","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.7742584","-96.7976775"
"03/14/2023","AQS","481130050","3","8.3","ug/m3 LC","46","Convention Center","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.7742584","-96.7976775"
"03/15/2023","AQS","481130050","3","14.7","ug/m3 LC","61","Convention Center","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.7742584","-96.7976775"
"03/16/2023","AQS","481130050","3","7.8","ug/m3 LC","43","Convention Center","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.7742584","-96.7976775"
"03/18/2023","AQS","481130050","3","5.7","ug/m3 LC","32","Convention Center","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.7742584","-96.7976775"
